locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOBIDPDJ_01201	CDS	300				hypothetical protein
HOBIDPDJ_01202	CDS	702	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
HOBIDPDJ_01203	CDS	1620	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
HOBIDPDJ_01204	CDS	885	hslO		COG1281	33 kDa chaperonin
HOBIDPDJ_01205	CDS	414	hslR		COG1188	Heat shock protein 15
HOBIDPDJ_01206	CDS	2109	igaA			Intracellular growth attenuator protein igaA
HOBIDPDJ_01207	CDS	558	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
HOBIDPDJ_01208	CDS	804	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
HOBIDPDJ_01209	CDS	2463	mrcA		COG5009	Penicillin-binding protein 1A
HOBIDPDJ_01210	CDS	825				hypothetical protein
HOBIDPDJ_01211	CDS	600				hypothetical protein
HOBIDPDJ_01212	CDS	534				hypothetical protein
HOBIDPDJ_01213	CDS	1116	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
HOBIDPDJ_01214	CDS	576	aroK	2.7.1.71	COG0703	Shikimate kinase 1
HOBIDPDJ_01215	CDS	1095	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
HOBIDPDJ_01216	CDS	945	damX		COG3266	Cell division protein DamX
HOBIDPDJ_01217	CDS	816	dam_1	2.1.1.72	COG0338	DNA adenine methylase
HOBIDPDJ_01218	CDS	675	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
HOBIDPDJ_01219	CDS	711	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
HOBIDPDJ_01220	CDS	1029	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
HOBIDPDJ_01221	CDS	675	yiiM		COG2258	Protein YiiM
HOBIDPDJ_01222	CDS	624	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
HOBIDPDJ_01223	CDS	1959	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
HOBIDPDJ_01224	CDS	312	yjcH		COG3162	Inner membrane protein YjcH
HOBIDPDJ_01225	CDS	1656	actP_1		COG4147	Cation/acetate symporter ActP
HOBIDPDJ_01226	CDS	1632	yhbX	2.-.-.-	COG2194	Putative transferase YhbX
HOBIDPDJ_01227	CDS	693	lutC_1		COG1556	Lactate utilization protein C
HOBIDPDJ_01228	CDS	1419	lutB_1		COG1139	Lactate utilization protein B
HOBIDPDJ_01229	CDS	738	lutA_1		COG0247	Lactate utilization protein A
HOBIDPDJ_01230	rRNA	93				5S ribosomal RNA (partial)
HOBIDPDJ_01231	tRNA	77				tRNA-Ile(gat)
HOBIDPDJ_01232	rRNA	111				5S ribosomal RNA
HOBIDPDJ_01233	tRNA	77				tRNA-Asp(gtc)
HOBIDPDJ_01234	CDS	786				hypothetical protein
HOBIDPDJ_01235	CDS	1194	sqr	1.8.5.4	COG0446	Sulfide-quinone reductase
HOBIDPDJ_01236	CDS	399				hypothetical protein
HOBIDPDJ_01237	CDS	1182	mdeA	4.4.1.11		L-methionine gamma-lyase
HOBIDPDJ_01238	CDS	1368	proY		COG1113	Proline-specific permease ProY
HOBIDPDJ_01239	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
HOBIDPDJ_01240	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
HOBIDPDJ_01241	CDS	1815	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
HOBIDPDJ_01242	CDS	1731	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
HOBIDPDJ_01243	CDS	732	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
HOBIDPDJ_01244	CDS	1422	cysG_1		COG0007	Siroheme synthase
HOBIDPDJ_01245	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
HOBIDPDJ_01246	CDS	1458	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
HOBIDPDJ_01247	CDS	615	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
HOBIDPDJ_01248	CDS	321	ftsB		COG2919	Cell division protein FtsB
HOBIDPDJ_01249	CDS	747	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
HOBIDPDJ_01250	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
HOBIDPDJ_01251	CDS	1053	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
HOBIDPDJ_01252	CDS	765	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
HOBIDPDJ_01253	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
HOBIDPDJ_01254	CDS	1125	nlpD			Murein hydrolase activator NlpD
HOBIDPDJ_01255	CDS	990	rpoS			RNA polymerase sigma factor RpoS
HOBIDPDJ_01256	CDS	2565	mutS		COG0249	DNA mismatch repair protein MutS
HOBIDPDJ_01257	CDS	474				hypothetical protein
HOBIDPDJ_01258	CDS	183				hypothetical protein
HOBIDPDJ_01259	CDS	588	betI_1			HTH-type transcriptional regulator BetI
HOBIDPDJ_01260	CDS	957				hypothetical protein
HOBIDPDJ_01261	CDS	99				hypothetical protein
HOBIDPDJ_01262	CDS	165				hypothetical protein
HOBIDPDJ_01263	CDS	618				hypothetical protein
HOBIDPDJ_01264	CDS	783				hypothetical protein
HOBIDPDJ_01265	CDS	165				hypothetical protein
HOBIDPDJ_01266	CDS	450	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
HOBIDPDJ_01267	CDS	861	licT		COG3711	Transcription antiterminator LicT
HOBIDPDJ_01268	CDS	1890	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
HOBIDPDJ_01269	CDS	825	phnPP	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
HOBIDPDJ_01270	CDS	309				hypothetical protein
HOBIDPDJ_01271	CDS	552	papA_2			Pap fimbrial major pilin protein
HOBIDPDJ_01272	CDS	567	papH			PAP fimbrial minor pilin protein
HOBIDPDJ_01273	CDS	2499	papC_4		COG3188	Outer membrane usher protein PapC
HOBIDPDJ_01274	CDS	711	papD_3		COG3121	Chaperone protein PapD
HOBIDPDJ_01275	CDS	504				hypothetical protein
HOBIDPDJ_01276	CDS	567	prsK			Protein PrsK
HOBIDPDJ_01277	CDS	546	papF			Fimbrial adapter PapF
HOBIDPDJ_01278	CDS	1020				hypothetical protein
HOBIDPDJ_01279	CDS	930	yfeX_1	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
HOBIDPDJ_01280	CDS	525	lpfA_2			putative major fimbrial subunit LpfA
HOBIDPDJ_01281	CDS	666	focC_1			Chaperone protein FocC
HOBIDPDJ_01282	CDS	2211	elfC_2		COG3188	putative outer membrane usher protein ElfC
HOBIDPDJ_01283	CDS	237	caf1A		COG3188	F1 capsule-anchoring protein
HOBIDPDJ_01284	CDS	522	fimG_2			Protein FimG
HOBIDPDJ_01285	CDS	498	fimG_3			Protein FimG
HOBIDPDJ_01286	CDS	294				hypothetical protein
HOBIDPDJ_01287	CDS	984				hypothetical protein
HOBIDPDJ_01288	CDS	303				hypothetical protein
HOBIDPDJ_01289	CDS	1473	yflS		COG0471	Putative malate transporter YflS
HOBIDPDJ_01290	CDS	906	dmlR_3			HTH-type transcriptional regulator DmlR
HOBIDPDJ_01291	CDS	876				hypothetical protein
HOBIDPDJ_01292	CDS	678	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
HOBIDPDJ_01293	CDS	1668	fdrA		COG0074	Protein FdrA
HOBIDPDJ_01294	CDS	1266				hypothetical protein
HOBIDPDJ_01295	CDS	825				hypothetical protein
HOBIDPDJ_01296	CDS	906	arcC1	2.7.2.2		Carbamate kinase 1
HOBIDPDJ_01297	CDS	1245	sauU			putative sulfoacetate transporter SauU
HOBIDPDJ_01298	CDS	915	allS_1			HTH-type transcriptional activator AllS
HOBIDPDJ_01299	CDS	822				hypothetical protein
HOBIDPDJ_01300	CDS	936				hypothetical protein
HOBIDPDJ_01301	CDS	681				hypothetical protein
HOBIDPDJ_01302	CDS	669				hypothetical protein
HOBIDPDJ_01303	CDS	636	tmoT			Response regulator protein TmoT
HOBIDPDJ_01304	CDS	996	rbsR_1		COG1609	Ribose operon repressor
HOBIDPDJ_01305	CDS	1467	sacA	3.2.1.26		Sucrose-6-phosphate hydrolase
HOBIDPDJ_01306	CDS	948	scrK	2.7.1.4	COG0524	Fructokinase
HOBIDPDJ_01307	CDS	912	rarD_2		COG2962	Protein RarD
HOBIDPDJ_01308	CDS	1200	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
HOBIDPDJ_01309	CDS	1884	htpG		COG0326	Chaperone protein HtpG
HOBIDPDJ_01310	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
HOBIDPDJ_01311	CDS	969	hemH	4.99.1.1	COG0276	Ferrochelatase
HOBIDPDJ_01312	CDS	1119	fepE		COG3765	Ferric enterobactin transport protein FepE
HOBIDPDJ_01313	CDS	1311	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
HOBIDPDJ_01314	CDS	1761	ybaL		COG1226	Putative cation/proton antiporter YbaL
HOBIDPDJ_01315	CDS	1245	RBKS_1	2.7.1.15		Ribokinase
HOBIDPDJ_01316	CDS	945				hypothetical protein
HOBIDPDJ_01317	CDS	435				hypothetical protein
HOBIDPDJ_01318	CDS	1488				hypothetical protein
HOBIDPDJ_01319	CDS	996	dhaK_1	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
HOBIDPDJ_01320	CDS	612	dhaL_1	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
HOBIDPDJ_01321	CDS	912	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HOBIDPDJ_01322	CDS	972	thadh	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
HOBIDPDJ_01323	CDS	399	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HOBIDPDJ_01324	CDS	759				hypothetical protein
HOBIDPDJ_01325	CDS	648	leuE_1		COG1280	Leucine efflux protein
HOBIDPDJ_01326	CDS	618				hypothetical protein
HOBIDPDJ_01327	CDS	612				hypothetical protein
HOBIDPDJ_01328	CDS	864	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
HOBIDPDJ_01329	CDS	330				hypothetical protein
HOBIDPDJ_01330	CDS	1743	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
HOBIDPDJ_01331	CDS	1101	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
HOBIDPDJ_01332	CDS	384			COG0346	Virulence protein
HOBIDPDJ_01333	CDS	303				hypothetical protein
HOBIDPDJ_01334	CDS	522				hypothetical protein
HOBIDPDJ_01335	CDS	801	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
HOBIDPDJ_01336	CDS	1284	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
HOBIDPDJ_01337	CDS	546				hypothetical protein
HOBIDPDJ_01338	CDS	846	rhaR			HTH-type transcriptional activator RhaR
HOBIDPDJ_01339	CDS	1185	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
HOBIDPDJ_01340	CDS	963	accA_1	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HOBIDPDJ_01341	CDS	888	dmlR_4			HTH-type transcriptional regulator DmlR
HOBIDPDJ_01342	CDS	1359	stp			Multidrug resistance protein Stp
HOBIDPDJ_01343	CDS	201				hypothetical protein
HOBIDPDJ_01344	CDS	597	betI_2			HTH-type transcriptional regulator BetI
HOBIDPDJ_01345	CDS	1005				hypothetical protein
HOBIDPDJ_01346	CDS	1575	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
HOBIDPDJ_01347	CDS	456				hypothetical protein
HOBIDPDJ_01348	CDS	1401	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
HOBIDPDJ_01349	CDS	972	yidZ			HTH-type transcriptional regulator YidZ
HOBIDPDJ_01350	CDS	1185	mdtL_1			Multidrug resistance protein MdtL
HOBIDPDJ_01351	CDS	792				hypothetical protein
HOBIDPDJ_01352	CDS	1407	hsrA_2			putative transport protein HsrA
HOBIDPDJ_01353	CDS	1158	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
HOBIDPDJ_01354	CDS	282				hypothetical protein
HOBIDPDJ_01355	CDS	1041	mdtN		COG1566	Multidrug resistance protein MdtN
HOBIDPDJ_01356	CDS	1854				hypothetical protein
HOBIDPDJ_01357	CDS	1476	oprJ		COG1538	Outer membrane protein OprJ
HOBIDPDJ_01358	CDS	399				hypothetical protein
HOBIDPDJ_01359	CDS	1353	dnaK_1		COG0443	Chaperone protein DnaK
HOBIDPDJ_01360	CDS	1026				hypothetical protein
HOBIDPDJ_01361	CDS	264				hypothetical protein
HOBIDPDJ_01362	CDS	600	eamB_1		COG1280	Cysteine/O-acetylserine efflux protein
HOBIDPDJ_01363	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
HOBIDPDJ_01364	CDS	1317	xylA	5.3.1.5	COG2115	Xylose isomerase
HOBIDPDJ_01365	CDS	1476	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
HOBIDPDJ_01366	CDS	1170	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
HOBIDPDJ_01367	CDS	1170	xylR			Xylose operon regulatory protein
HOBIDPDJ_01368	CDS	285				hypothetical protein
HOBIDPDJ_01369	CDS	1068				hypothetical protein
HOBIDPDJ_01370	CDS	315	yqjZ		COG2329	putative protein YqjZ
HOBIDPDJ_01371	CDS	702				hypothetical protein
HOBIDPDJ_01372	CDS	465				hypothetical protein
HOBIDPDJ_01373	CDS	399				hypothetical protein
HOBIDPDJ_01374	CDS	1128				hypothetical protein
HOBIDPDJ_01375	CDS	510				hypothetical protein
HOBIDPDJ_01376	CDS	492				hypothetical protein
HOBIDPDJ_01377	CDS	222	osmB			Osmotically-inducible lipoprotein B
HOBIDPDJ_01378	CDS	750	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
HOBIDPDJ_01379	CDS	357				hypothetical protein
HOBIDPDJ_01380	CDS	237				hypothetical protein
HOBIDPDJ_01381	CDS	672	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
HOBIDPDJ_01382	CDS	1212	mlc		COG1940	Protein mlc
HOBIDPDJ_01383	CDS	915	benM_2			HTH-type transcriptional regulator BenM
HOBIDPDJ_01384	CDS	1266	ynfM			Inner membrane transport protein YnfM
HOBIDPDJ_01385	CDS	144				hypothetical protein
HOBIDPDJ_01386	CDS	930	tus_2			DNA replication terminus site-binding protein
HOBIDPDJ_01387	CDS	1398	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
HOBIDPDJ_01388	CDS	1674	ydgA		COG5339	Protein YdgA
HOBIDPDJ_01389	CDS	960				hypothetical protein
HOBIDPDJ_01390	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
HOBIDPDJ_01391	CDS	987				hypothetical protein
HOBIDPDJ_01392	CDS	1044	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
HOBIDPDJ_01393	CDS	468	ydgK			Inner membrane protein YdgK
HOBIDPDJ_01394	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
HOBIDPDJ_01395	CDS	627	rsxB_2	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
HOBIDPDJ_01396	CDS	2640	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
HOBIDPDJ_01397	CDS	1077	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
HOBIDPDJ_01398	CDS	627	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
HOBIDPDJ_01399	CDS	705	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
HOBIDPDJ_01400	CDS	639	nth	4.2.99.18	COG0177	Endonuclease III
HOBIDPDJ_01401	CDS	1944	rnb	3.1.13.1	COG4776	Exoribonuclease 2
HOBIDPDJ_01402	CDS	324	yciH		COG0023	putative protein YciH
HOBIDPDJ_01403	CDS	747	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
HOBIDPDJ_01404	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
HOBIDPDJ_01405	CDS	318	lapA		COG3771	Lipopolysaccharide assembly protein A
HOBIDPDJ_01406	CDS	720	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
HOBIDPDJ_01407	CDS	600	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
HOBIDPDJ_01408	CDS	816	nlpA		COG1464	Lipoprotein 28
HOBIDPDJ_01409	CDS	651				hypothetical protein
HOBIDPDJ_01410	CDS	648	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
HOBIDPDJ_01411	CDS	2673	acnA	4.2.1.3	COG1048	Aconitate hydratase A
HOBIDPDJ_01412	CDS	834				hypothetical protein
HOBIDPDJ_01413	CDS	975	cysB_2			HTH-type transcriptional regulator CysB
HOBIDPDJ_01414	CDS	753				hypothetical protein
HOBIDPDJ_01415	CDS	1911				hypothetical protein
HOBIDPDJ_01416	CDS	786				hypothetical protein
HOBIDPDJ_01417	CDS	1974	vgrG1_3	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
HOBIDPDJ_01418	CDS	273				hypothetical protein
HOBIDPDJ_01419	CDS	525	sodC1	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn] 1
HOBIDPDJ_01420	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
HOBIDPDJ_01421	CDS	252	yciN			Protein YciN
HOBIDPDJ_01422	CDS	1047	sohB	3.4.21.-	COG0616	putative protease SohB
HOBIDPDJ_01423	CDS	765	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
HOBIDPDJ_01424	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
HOBIDPDJ_01425	CDS	948				hypothetical protein
HOBIDPDJ_01426	CDS	927	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
HOBIDPDJ_01427	CDS	621	yciO		COG0009	putative protein YciO
HOBIDPDJ_01428	CDS	861	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
HOBIDPDJ_01429	CDS	1578	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
HOBIDPDJ_01430	CDS	594	trpG_1	4.1.3.27		Anthranilate synthase component 2
HOBIDPDJ_01431	CDS	999	trpGD		COG0512	Bifunctional protein TrpGD
HOBIDPDJ_01432	CDS	1374	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
HOBIDPDJ_01433	CDS	1191	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
HOBIDPDJ_01434	CDS	810	trpA	4.2.1.20		Tryptophan synthase alpha chain
HOBIDPDJ_01435	CDS	315				hypothetical protein
HOBIDPDJ_01436	CDS	642	ompW		COG3047	Outer membrane protein W
HOBIDPDJ_01437	CDS	762				hypothetical protein
HOBIDPDJ_01438	CDS	1785			COG0659	putative sulfate transporter
HOBIDPDJ_01439	CDS	654	yciB		COG2917	putative intracellular septation protein A
HOBIDPDJ_01440	CDS	432		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
HOBIDPDJ_01441	CDS	726				hypothetical protein
HOBIDPDJ_01442	CDS	180				hypothetical protein
HOBIDPDJ_01443	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
HOBIDPDJ_01444	CDS	324				hypothetical protein
HOBIDPDJ_01445	CDS	537	ail_1		COG3637	Attachment invasion locus protein
HOBIDPDJ_01446	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
HOBIDPDJ_01447	CDS	303				hypothetical protein
HOBIDPDJ_01448	CDS	93				hypothetical protein
HOBIDPDJ_01449	CDS	669	leuE_2		COG1280	Leucine efflux protein
HOBIDPDJ_01450	CDS	921	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
HOBIDPDJ_01451	CDS	984	zntB		COG0598	Zinc transport protein ZntB
HOBIDPDJ_01452	CDS	333				hypothetical protein
HOBIDPDJ_01453	CDS	561				hypothetical protein
HOBIDPDJ_01454	CDS	1620	mppA		COG4166	Periplasmic murein peptide-binding protein
HOBIDPDJ_01455	CDS	504	tpx	1.11.1.15	COG2077	Thiol peroxidase
HOBIDPDJ_01456	CDS	1566	tyrR			Transcriptional regulatory protein TyrR
HOBIDPDJ_01457	CDS	423				hypothetical protein
HOBIDPDJ_01458	CDS	1047				hypothetical protein
HOBIDPDJ_01459	CDS	1395	ycjX		COG3106	putative protein YcjX
HOBIDPDJ_01460	CDS	255				hypothetical protein
HOBIDPDJ_01461	CDS	357	pspC		COG1983	Phage shock protein C
HOBIDPDJ_01462	CDS	231	pspB			Phage shock protein B
HOBIDPDJ_01463	CDS	669	pspA		COG1842	Phage shock protein A
HOBIDPDJ_01464	CDS	1005	pspF		COG1221	Psp operon transcriptional activator
HOBIDPDJ_01465	CDS	1692	sapA		COG4166	Peptide transport periplasmic protein SapA
HOBIDPDJ_01466	CDS	966	sapB_1		COG4168	Putrescine export system permease protein SapB
HOBIDPDJ_01467	CDS	894	sapC		COG4171	Putrescine export system permease protein SapC
HOBIDPDJ_01468	CDS	1002	sapD		COG4170	Putrescine export system ATP-binding protein SapD
HOBIDPDJ_01469	CDS	810	sapF		COG4167	Peptide transport system ATP-binding protein SapF
HOBIDPDJ_01470	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
HOBIDPDJ_01471	CDS	612	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
HOBIDPDJ_01472	CDS	870	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
HOBIDPDJ_01473	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
HOBIDPDJ_01474	CDS	654	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
HOBIDPDJ_01475	CDS	1113	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
HOBIDPDJ_01476	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
HOBIDPDJ_01477	CDS	429	slyA			Transcriptional regulator SlyA
HOBIDPDJ_01478	CDS	240				hypothetical protein
HOBIDPDJ_01479	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
HOBIDPDJ_01480	CDS	639	rnt	3.1.13.-	COG0847	Ribonuclease T
HOBIDPDJ_01481	CDS	339	grxD		COG0278	Glutaredoxin 4
HOBIDPDJ_01482	CDS	534	yyaP		COG0262	putative protein YyaP
HOBIDPDJ_01483	CDS	567				hypothetical protein
HOBIDPDJ_01484	CDS	336				hypothetical protein
HOBIDPDJ_01485	CDS	816				hypothetical protein
HOBIDPDJ_01486	CDS	579	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
HOBIDPDJ_01487	CDS	1026	purR_1		COG1609	HTH-type transcriptional repressor PurR
HOBIDPDJ_01488	CDS	903	allS_2			HTH-type transcriptional activator AllS
HOBIDPDJ_01489	CDS	1218	ydhC_2			Inner membrane transport protein YdhC
HOBIDPDJ_01490	CDS	1155	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
HOBIDPDJ_01491	CDS	657	ribC	2.5.1.9	COG0307	Riboflavin synthase
HOBIDPDJ_01492	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
HOBIDPDJ_01493	tRNA	77				tRNA-Val(gac)
HOBIDPDJ_01494	tRNA	77				tRNA-Val(gac)
HOBIDPDJ_01495	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
HOBIDPDJ_01496	CDS	1554	gadC		COG0531	putative glutamate/gamma-aminobutyrate antiporter
HOBIDPDJ_01497	CDS	1392	gadA	4.1.1.15	COG0076	Glutamate decarboxylase
HOBIDPDJ_01498	CDS	1053	yxeI		COG3049	putative protein YxeI
HOBIDPDJ_01499	CDS	240	lpp1			Major outer membrane lipoprotein Lpp 1
HOBIDPDJ_01500	CDS	918	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
HOBIDPDJ_01501	CDS	429	sufE		COG2166	Cysteine desulfuration protein SufE
HOBIDPDJ_01502	CDS	1242	sufS	2.8.1.7	COG0520	Cysteine desulfurase
HOBIDPDJ_01503	CDS	1308	sufD		COG0719	FeS cluster assembly protein SufD
HOBIDPDJ_01504	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
HOBIDPDJ_01505	CDS	1497	sufB		COG0719	FeS cluster assembly protein SufB
HOBIDPDJ_01506	CDS	369	sufA		COG0316	Protein SufA
HOBIDPDJ_01507	CDS	612				hypothetical protein
HOBIDPDJ_01508	CDS	414	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
HOBIDPDJ_01509	CDS	3057			COG0247	putative protein
HOBIDPDJ_01510	CDS	1113	ydiK		COG0628	Putative transport protein YdiK
HOBIDPDJ_01511	CDS	2376	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
HOBIDPDJ_01512	CDS	867	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
HOBIDPDJ_01513	CDS	1050	aroH_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
HOBIDPDJ_01514	CDS	225				hypothetical protein
HOBIDPDJ_01515	CDS	2235	hemR_1		COG1629	Hemin receptor
HOBIDPDJ_01516	CDS	2043	hemR_2		COG1629	Hemin receptor
HOBIDPDJ_01517	CDS	1050	hemS		COG3720	Hemin transport protein HemS
HOBIDPDJ_01518	CDS	816	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
HOBIDPDJ_01519	CDS	1005	hmuU_2		COG0609	Hemin transport system permease protein HmuU
HOBIDPDJ_01520	CDS	795	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
HOBIDPDJ_01521	CDS	468	lrp_1		COG1522	Leucine-responsive regulatory protein
HOBIDPDJ_01522	CDS	612				hypothetical protein
HOBIDPDJ_01523	CDS	1416	norG		COG1167	HTH-type transcriptional regulator NorG
HOBIDPDJ_01524	CDS	1335	cydA_1	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
HOBIDPDJ_01525	CDS	1008	appB_1	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
HOBIDPDJ_01526	CDS	162				hypothetical protein
HOBIDPDJ_01527	CDS	846	viuB		COG2375	Vibriobactin utilization protein ViuB
HOBIDPDJ_01528	CDS	384	yhaH		COG3152	Inner membrane protein YhaH
HOBIDPDJ_01529	CDS	786	phoH		COG1702	Protein PhoH
HOBIDPDJ_01530	CDS	444				hypothetical protein
HOBIDPDJ_01531	CDS	978				hypothetical protein
HOBIDPDJ_01532	CDS	183				hypothetical protein
HOBIDPDJ_01533	CDS	474				hypothetical protein
HOBIDPDJ_01534	CDS	804	yjjP		COG2966	Inner membrane protein YjjP
HOBIDPDJ_01535	CDS	828				hypothetical protein
